Accuracy,Precision,Recall,F1
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.4117647058823529,0.42857142857142855,0.75,0.5454545454545454
0.38235294117647056,0.4074074074074074,0.6875,0.5116279069767441
0.35294117647058826,0.375,0.5625,0.45
0.5,0.4838709677419355,0.9375,0.6382978723404255
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
